=======================================
Testing Minimized Seeds (723 tests)
=======================================

Step 1: Copying team files...
Step 2: Building Rust binary...
Step 3: Running JavaScript battles...
Step 4: Running Rust battles...
Step 5: Copying results...

Step 6: Comparing results...

Seed 3010: ✗ FAIL - #1: turn=1, prng=0->3, P1=[Misdreavus(188/248)], P2=[Regieleki(231/231)]
Seed 3014: ✗ FAIL - #1: turn=2, prng=0->2, P1=[Abomasnow(283/285)], P2=[Dhelmise(272/272)]
Seed 3022: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Tapu Fini(215/234)], P2=[Bastiodon(200/246)]
Seed 3063: ✗ FAIL - #3: turn=4, prng=3->6, P1=[Tentacool(181/181)], P2=[Zamazenta(316/332)]
Seed 3070: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Kangaskhan(305/306)], P2=[Hydrapple(208/232)]
Seed 3078: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Golisopod(169/184)], P2=[Silvally(326/334)]
Seed 3085: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Toucannon(211/211)], P2=[Vullaby(197/237)]
Seed 3092: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Kyogre(216/263)], P2=[Banette(234/234)]
Seed 3103: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Torterra(232/276)], P2=[Draggalong(153/174)]
Seed 3119: ✗ FAIL - #1: turn=2, prng=0->0, P1=[Fletchling(189/189)], P2=[Slowking(208/208)]
Seed 3122: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Crucibelle(174/195)], P2=[Graveler(206/206)]
Seed 3126: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Alcremie(189/225)], P2=[Mimikyu(191/230)]
Seed 3130: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Wigglytuff(350/351)], P2=[Arceus(276/304)]
Seed 3141: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Garchomp(249/249)], P2=[Necrozma(331/331)]
